CODE,MUNICIPIO,SI,NO,BLANCO,NULO,NOTES
artes,Artés,7869,4432,224,334,El censo de <strong>Artés</strong> es <strong>17750</strong> y ha participado un <strong>72%</strong>
artesa-de-lleida,Artesa de Lleida,6428,4638,139,146,El censo de <strong>Artesa de Lleida</strong> es <strong>17099</strong> y ha participado un <strong>66%</strong>
artesa-de-segre,Artesa de Segre,5622,3757,389,384,El censo de <strong>Artesa de Segre</strong> es <strong>13170</strong> y ha participado un <strong>77%</strong>
asco,Ascó,6793,4834,213,302,El censo de <strong>Ascó</strong> es <strong>15203</strong> y ha participado un <strong>80%</strong>
aspa,Aspa,5307,5260,360,306,El censo de <strong>Aspa</strong> es <strong>14765</strong> y ha participado un <strong>76%</strong>
avia,Avià,7843,5922,134,215,El censo de <strong>Avià</strong> es <strong>19110</strong> y ha participado un <strong>74%</strong>
avinyo,Avinyó,6836,4077,249,390,El censo de <strong>Avinyó</strong> es <strong>17168</strong> y ha participado un <strong>67%</strong>
avinyonet-de-puigventos,Avinyonet de Puigventós,5577,3168,228,152,El censo de <strong>Avinyonet de Puigventós</strong> es <strong>12417</strong> y ha participado un <strong>73%</strong>
avinyonet-del-penedes,Avinyonet del Penedès,8096,3750,270,391,El censo de <strong>Avinyonet del Penedès</strong> es <strong>17174</strong> y ha participado un <strong>73%</strong>
badalona,Badalona,6885,3539,410,378,El censo de <strong>Badalona</strong> es <strong>15137</strong> y ha participado un <strong>74%</strong>
badia-del-valles,Badia del Vallès,8395,5601,100,133,El censo de <strong>Badia del Vallès</strong> es <strong>19735</strong> y ha participado un <strong>72%</strong>
baga,Bagà,9332,5170,224,256,El censo de <strong>Bagà</strong> es <strong>18081</strong> y ha participado un <strong>83%</strong>
baix-pallars,Baix Pallars,5442,3165,126,477,El censo de <strong>Baix Pallars</strong> es <strong>14316</strong> y ha participado un <strong>64%</strong>
balaguer,Balaguer,5052,5140,376,186,El censo de <strong>Balaguer</strong> es <strong>15882</strong> y ha participado un <strong>68%</strong>
balenya,Balenyà,9177,4748,273,174,El censo de <strong>Balenyà</strong> es <strong>18265</strong> y ha participado un <strong>79%</strong>
balsareny,Balsareny,9506,5777,391,305,El censo de <strong>Balsareny</strong> es <strong>21372</strong> y ha participado un <strong>75%</strong>
banyeres-del-penedes,Banyeres del Penedès,6088,3760,259,493,El censo de <strong>Banyeres del Penedès</strong> es <strong>15511</strong> y ha participado un <strong>68%</strong>
banyoles,Banyoles,5792,4094,156,247,El censo de <strong>Banyoles</strong> es <strong>15552</strong> y ha participado un <strong>66%</strong>
barbens,Barbens,7544,3649,383,195,El censo de <strong>Barbens</strong> es <strong>15773</strong> y ha participado un <strong>75%</strong>
barbera-de-la-conca,Barberà de la Conca,8037,4393,175,257,El censo de <strong>Barberà de la Conca</strong> es <strong>17211</strong> y ha participado un <strong>75%</strong>
barbera-del-valles,Barberà del Vallès,6955,4370,206,342,El censo de <strong>Barberà del Vallès</strong> es <strong>15610</strong> y ha participado un <strong>76%</strong>
barcelona,Barcelona,5169,3864,141,315,El censo de <strong>Barcelona</strong> es <strong>15054</strong> y ha participado un <strong>63%</strong>
bascara,Bàscara,5261,5193,203,194,El censo de <strong>Bàscara</strong> es <strong>16824</strong> y ha participado un <strong>64%</strong>
bassella,Bassella,5652,3448,196,147,El censo de <strong>Bassella</strong> es <strong>14880</strong> y ha participado un <strong>63%</strong>
batea,Batea,5772,4613,447,204,El censo de <strong>Batea</strong> es <strong>14113</strong> y ha participado un <strong>78%</strong>
bausen,Bausen,7188,5382,149,174,El censo de <strong>Bausen</strong> es <strong>17344</strong> y ha participado un <strong>74%</strong>
begues,Begues,6165,4532,293,282,El censo de <strong>Begues</strong> es <strong>15066</strong> y ha participado un <strong>75%</strong>
begur,Begur,8129,4121,132,288,El censo de <strong>Begur</strong> es <strong>17917</strong> y ha participado un <strong>71%</strong>
belianes,Belianes,7865,3260,172,383,El censo de <strong>Belianes</strong> es <strong>15359</strong> y ha participado un <strong>76%</strong>
bellaguarda,Bellaguarda,7330,3645,363,438,El censo de <strong>Bellaguarda</strong> es <strong>17659</strong> y ha participado un <strong>67%</strong>
bellcaire-d-emporda,Bellcaire d'Empordà,7912,5712,158,479,El censo de <strong>Bellcaire d'Empordà</strong> es <strong>19970</strong> y ha participado un <strong>71%</strong>
bellcaire-d-urgell,Bellcaire d'Urgell,6538,4170,191,235,El censo de <strong>Bellcaire d'Urgell</strong> es <strong>14415</strong> y ha participado un <strong>77%</strong>
bell-lloc-d-urgell,Bell-lloc d'Urgell,8475,3003,147,251,El censo de <strong>Bell-lloc d'Urgell</strong> es <strong>15056</strong> y ha participado un <strong>79%</strong>
bellmunt-del-priorat,Bellmunt del Priorat,6097,3516,309,113,El censo de <strong>Bellmunt del Priorat</strong> es <strong>14043</strong> y ha participado un <strong>71%</strong>
bellmunt-d-urgell,Bellmunt d'Urgell,8402,4824,230,290,El censo de <strong>Bellmunt d'Urgell</strong> es <strong>18719</strong> y ha participado un <strong>73%</strong>
bellprat,Bellprat,6342,3015,135,454,El censo de <strong>Bellprat</strong> es <strong>15420</strong> y ha participado un <strong>65%</strong>
bellpuig,Bellpuig,9502,5485,489,101,El censo de <strong>Bellpuig</strong> es <strong>19837</strong> y ha participado un <strong>79%</strong>
bellvei,Bellvei,5343,4823,124,307,El censo de <strong>Bellvei</strong> es <strong>15068</strong> y ha participado un <strong>70%</strong>
bellver-de-cerdanya,Bellver de Cerdanya,7051,5060,408,206,El censo de <strong>Bellver de Cerdanya</strong> es <strong>16396</strong> y ha participado un <strong>78%</strong>
bellvis,Bellvís,9340,5695,378,466,El censo de <strong>Bellvís</strong> es <strong>20935</strong> y ha participado un <strong>76%</strong>
benavent-de-segria,Benavent de Segrià,5783,4221,209,226,El censo de <strong>Benavent de Segrià</strong> es <strong>13631</strong> y ha participado un <strong>77%</strong>
benifallet,Benifallet,8645,3418,390,104,El censo de <strong>Benifallet</strong> es <strong>16819</strong> y ha participado un <strong>75%</strong>
benissanet,Benissanet,9403,4492,131,463,El censo de <strong>Benissanet</strong> es <strong>20154</strong> y ha participado un <strong>72%</strong>
berga,Berga,5540,3559,152,462,El censo de <strong>Berga</strong> es <strong>15469</strong> y ha participado un <strong>63%</strong>
besalu,Besalú,5463,3189,449,141,El censo de <strong>Besalú</strong> es <strong>13277</strong> y ha participado un <strong>70%</strong>
bescano,Bescanó,9069,5977,400,361,El censo de <strong>Bescanó</strong> es <strong>20341</strong> y ha participado un <strong>78%</strong>
beuda,Beuda,7830,4742,477,454,El censo de <strong>Beuda</strong> es <strong>17455</strong> y ha participado un <strong>77%</strong>
bigues-i-riells,Bigues i Riells,7232,5718,182,265,El censo de <strong>Bigues i Riells</strong> es <strong>17605</strong> y ha participado un <strong>76%</strong>
biosca,Biosca,8730,5211,207,128,El censo de <strong>Biosca</strong> es <strong>18811</strong> y ha participado un <strong>76%</strong>
biure,Biure,7468,4990,128,415,El censo de <strong>Biure</strong> es <strong>17744</strong> y ha participado un <strong>73%</strong>
blancafort,Blancafort,6540,3987,263,246,El censo de <strong>Blancafort</strong> es <strong>15816</strong> y ha participado un <strong>70%</strong>
blanes,Blanes,9958,5304,234,444,El censo de <strong>Blanes</strong> es <strong>21510</strong> y ha participado un <strong>74%</strong>
boadella-i-les-escaules,Boadella i les Escaules,5417,4834,417,190,El censo de <strong>Boadella i les Escaules</strong> es <strong>16043</strong> y ha participado un <strong>68%</strong>
bolvir,Bolvir,5224,4807,409,279,El censo de <strong>Bolvir</strong> es <strong>16182</strong> y ha participado un <strong>66%</strong>
bonastre,Bonastre,6924,4228,315,490,El censo de <strong>Bonastre</strong> es <strong>16629</strong> y ha participado un <strong>72%</strong>
bordils,Bordils,8647,3063,201,295,El censo de <strong>Bordils</strong> es <strong>15411</strong> y ha participado un <strong>79%</strong>
borrassa,Borrassà,6967,5965,162,217,El censo de <strong>Borrassà</strong> es <strong>18335</strong> y ha participado un <strong>73%</strong>
borreda,Borredà,6296,5222,113,253,El censo de <strong>Borredà</strong> es <strong>16120</strong> y ha participado un <strong>74%</strong>
bossost,Bossòst,6382,3626,145,500,El censo de <strong>Bossòst</strong> es <strong>15613</strong> y ha participado un <strong>68%</strong>
bot,Bot,9852,5220,365,399,El censo de <strong>Bot</strong> es <strong>19170</strong> y ha participado un <strong>83%</strong>
botarell,Botarell,5879,5522,300,145,El censo de <strong>Botarell</strong> es <strong>17310</strong> y ha participado un <strong>68%</strong>
bovera,Bovera,5943,3122,172,128,El censo de <strong>Bovera</strong> es <strong>12697</strong> y ha participado un <strong>74%</strong>
brafim,Bràfim,7826,4194,495,316,El censo de <strong>Bràfim</strong> es <strong>18422</strong> y ha participado un <strong>70%</strong>
breda,Breda,9236,5504,423,348,El censo de <strong>Breda</strong> es <strong>18987</strong> y ha participado un <strong>82%</strong>
brunyola,Brunyola,6643,3796,114,130,El censo de <strong>Brunyola</strong> es <strong>16198</strong> y ha participado un <strong>66%</strong>
cabaces,Cabacés,8635,4897,262,346,El censo de <strong>Cabacés</strong> es <strong>18245</strong> y ha participado un <strong>78%</strong>
cabanabona,Cabanabona,5629,4584,211,269,El censo de <strong>Cabanabona</strong> es <strong>13730</strong> y ha participado un <strong>78%</strong>
cabanelles,Cabanelles,9123,4181,242,203,El censo de <strong>Cabanelles</strong> es <strong>19674</strong> y ha participado un <strong>70%</strong>
cabanes,Cabanes,6701,4511,318,335,El censo de <strong>Cabanes</strong> es <strong>17446</strong> y ha participado un <strong>68%</strong>
cabo,Cabó,5211,3159,147,465,El censo de <strong>Cabó</strong> es <strong>14420</strong> y ha participado un <strong>62%</strong>
cabra-del-camp,Cabra del Camp,6506,4022,475,122,El censo de <strong>Cabra del Camp</strong> es <strong>15523</strong> y ha participado un <strong>72%</strong>
cabrera-d-anoia,Cabrera d'Anoia,7587,4437,274,224,El censo de <strong>Cabrera d'Anoia</strong> es <strong>17015</strong> y ha participado un <strong>74%</strong>
cabrera-de-mar,Cabrera de Mar,5397,4822,283,131,El censo de <strong>Cabrera de Mar</strong> es <strong>15725</strong> y ha participado un <strong>68%</strong>
cabrils,Cabrils,9158,4112,375,307,El censo de <strong>Cabrils</strong> es <strong>18470</strong> y ha participado un <strong>76%</strong>
cadaques,Cadaqués,6769,3150,289,366,El censo de <strong>Cadaqués</strong> es <strong>14226</strong> y ha participado un <strong>74%</strong>
calaf,Calaf,6184,3402,435,433,El censo de <strong>Calaf</strong> es <strong>15565</strong> y ha participado un <strong>67%</strong>
calafell,Calafell,6394,3954,415,411,El censo de <strong>Calafell</strong> es <strong>14723</strong> y ha participado un <strong>76%</strong>
calders,Calders,7044,3449,151,307,El censo de <strong>Calders</strong> es <strong>15807</strong> y ha participado un <strong>69%</strong>
caldes-de-malavella,Caldes de Malavella,7515,4004,149,227,El censo de <strong>Caldes de Malavella</strong> es <strong>15090</strong> y ha participado un <strong>79%</strong>
caldes-de-montbui,Caldes de Montbui,5381,5253,169,469,El censo de <strong>Caldes de Montbui</strong> es <strong>14890</strong> y ha participado un <strong>76%</strong>
caldes-d-estrac,Caldes d'Estrac,6075,4222,239,337,El censo de <strong>Caldes d'Estrac</strong> es <strong>15462</strong> y ha participado un <strong>70%</strong>
calella,Calella,7961,5383,430,245,El censo de <strong>Calella</strong> es <strong>18431</strong> y ha participado un <strong>76%</strong>
calldetenes,Calldetenes,8688,4563,430,363,El censo de <strong>Calldetenes</strong> es <strong>18288</strong> y ha participado un <strong>77%</strong>
callus,Callús,5868,4582,225,152,El censo de <strong>Callús</strong> es <strong>15723</strong> y ha participado un <strong>69%</strong>
calonge,Calonge,7289,4396,177,223,El censo de <strong>Calonge</strong> es <strong>15179</strong> y ha participado un <strong>80%</strong>
calonge-de-segarra,Calonge de Segarra,6772,5171,318,497,El censo de <strong>Calonge de Segarra</strong> es <strong>16418</strong> y ha participado un <strong>78%</strong>
camarasa,Camarasa,5589,5822,431,384,El censo de <strong>Camarasa</strong> es <strong>15753</strong> y ha participado un <strong>78%</strong>
camarles,Camarles,7537,4876,336,421,El censo de <strong>Camarles</strong> es <strong>17265</strong> y ha participado un <strong>76%</strong>
cambrils,Cambrils,9127,3130,313,311,El censo de <strong>Cambrils</strong> es <strong>16979</strong> y ha participado un <strong>76%</strong>
camos,Camós,9557,4061,177,260,El censo de <strong>Camós</strong> es <strong>18482</strong> y ha participado un <strong>76%</strong>
campdevanol,Campdevànol,5955,5089,494,212,El censo de <strong>Campdevànol</strong> es <strong>16731</strong> y ha participado un <strong>70%</strong>
campelles,Campelles,8034,5057,183,467,El censo de <strong>Campelles</strong> es <strong>17366</strong> y ha participado un <strong>79%</strong>
campins,Campins,5190,3433,351,497,El censo de <strong>Campins</strong> es <strong>15262</strong> y ha participado un <strong>62%</strong>
campllong,Campllong,8077,5970,442,117,El censo de <strong>Campllong</strong> es <strong>20351</strong> y ha participado un <strong>72%</strong>
camprodon,Camprodon,7236,3375,279,320,El censo de <strong>Camprodon</strong> es <strong>14456</strong> y ha participado un <strong>78%</strong>
canejan,Canejan,8791,4322,180,293,El censo de <strong>Canejan</strong> es <strong>19009</strong> y ha participado un <strong>71%</strong>
canet-d-adri,Canet d'Adri,6068,5789,428,331,El censo de <strong>Canet d'Adri</strong> es <strong>16795</strong> y ha participado un <strong>75%</strong>
canet-de-mar,Canet de Mar,7621,5426,257,319,El censo de <strong>Canet de Mar</strong> es <strong>18219</strong> y ha participado un <strong>75%</strong>
canovelles,Canovelles,8639,5525,265,266,El censo de <strong>Canovelles</strong> es <strong>18476</strong> y ha participado un <strong>80%</strong>
canoves-i-samalus,Cànoves i Samalús,8530,5097,299,204,El censo de <strong>Cànoves i Samalús</strong> es <strong>19738</strong> y ha participado un <strong>72%</strong>
cantallops,Cantallops,7216,5125,380,272,El censo de <strong>Cantallops</strong> es <strong>16589</strong> y ha participado un <strong>78%</strong>
canyelles,Canyelles,8446,4888,357,166,El censo de <strong>Canyelles</strong> es <strong>17364</strong> y ha participado un <strong>80%</strong>
capafonts,Capafonts,5777,3754,314,362,El censo de <strong>Capafonts</strong> es <strong>13278</strong> y ha participado un <strong>77%</strong>
capcanes,Capçanes,6046,4832,133,436,El censo de <strong>Capçanes</strong> es <strong>17165</strong> y ha participado un <strong>67%</strong>
capellades,Capellades,9508,5189,375,223,El censo de <strong>Capellades</strong> es <strong>18893</strong> y ha participado un <strong>81%</strong>
capmany,Capmany,7593,5317,157,232,El censo de <strong>Capmany</strong> es <strong>19085</strong> y ha participado un <strong>70%</strong>
capolat,Capolat,6519,4544,467,276,El censo de <strong>Capolat</strong> es <strong>15924</strong> y ha participado un <strong>74%</strong>
cardedeu,Cardedeu,6072,5954,247,411,El censo de <strong>Cardedeu</strong> es <strong>17870</strong> y ha participado un <strong>71%</strong>
cardona,Cardona,5061,4856,241,482,El censo de <strong>Cardona</strong> es <strong>14935</strong> y ha participado un <strong>71%</strong>
carme,Carme,8851,3314,391,370,El censo de <strong>Carme</strong> es <strong>18674</strong> y ha participado un <strong>69%</strong>
caseres,Caseres,9879,5704,356,410,El censo de <strong>Caseres</strong> es <strong>22101</strong> y ha participado un <strong>74%</strong>
cassa-de-la-selva,Cassà de la Selva,5787,3473,296,338,El censo de <strong>Cassà de la Selva</strong> es <strong>15800</strong> y ha participado un <strong>63%</strong>
casserres,Casserres,8594,4666,102,494,El censo de <strong>Casserres</strong> es <strong>17635</strong> y ha participado un <strong>79%</strong>
castell-de-l-areny,Castell de l'Areny,9207,3799,380,127,El censo de <strong>Castell de l'Areny</strong> es <strong>18132</strong> y ha participado un <strong>75%</strong>
castell-de-mur,Castell de Mur,5893,3803,166,376,El censo de <strong>Castell de Mur</strong> es <strong>14382</strong> y ha participado un <strong>71%</strong>
castellar-de-la-ribera,Castellar de la Ribera,7895,5898,148,140,El censo de <strong>Castellar de la Ribera</strong> es <strong>17838</strong> y ha participado un <strong>79%</strong>
castellar-de-n-hug,Castellar de n'Hug,9138,4134,257,375,El censo de <strong>Castellar de n'Hug</strong> es <strong>16944</strong> y ha participado un <strong>82%</strong>
castellar-del-riu,Castellar del Riu,8302,5155,292,427,El censo de <strong>Castellar del Riu</strong> es <strong>17676</strong> y ha participado un <strong>80%</strong>
castellar-del-valles,Castellar del Vallès,9688,4160,277,391,El censo de <strong>Castellar del Vallès</strong> es <strong>18164</strong> y ha participado un <strong>80%</strong>
castellbell-i-el-vilar,Castellbell i el Vilar,6622,5469,439,178,El censo de <strong>Castellbell i el Vilar</strong> es <strong>18235</strong> y ha participado un <strong>70%</strong>
castellbisbal,Castellbisbal,5053,3218,233,320,El censo de <strong>Castellbisbal</strong> es <strong>14660</strong> y ha participado un <strong>60%</strong>
castellcir,Castellcir,7445,3910,449,457,El censo de <strong>Castellcir</strong> es <strong>18211</strong> y ha participado un <strong>67%</strong>
castelldans,Castelldans,6417,5646,291,432,El censo de <strong>Castelldans</strong> es <strong>16162</strong> y ha participado un <strong>79%</strong>
castelldefels,Castelldefels,6112,3051,366,302,El censo de <strong>Castelldefels</strong> es <strong>12964</strong> y ha participado un <strong>76%</strong>
castellet-i-la-gornal,Castellet i la Gornal,9097,3868,342,421,El censo de <strong>Castellet i la Gornal</strong> es <strong>18264</strong> y ha participado un <strong>75%</strong>
castellfollit-de-la-roca,Castellfollit de la Roca,5614,4087,404,300,El censo de <strong>Castellfollit de la Roca</strong> es <strong>14286</strong> y ha participado un <strong>73%</strong>
castellfollit-de-riubregos,Castellfollit de Riubregós,9522,5045,107,317,El censo de <strong>Castellfollit de Riubregós</strong> es <strong>19739</strong> y ha participado un <strong>76%</strong>
castellfollit-del-boix,Castellfollit del Boix,6819,5227,383,212,El censo de <strong>Castellfollit del Boix</strong> es <strong>18433</strong> y ha participado un <strong>69%</strong>
castellgali,Castellgalí,9583,3451,452,307,El censo de <strong>Castellgalí</strong> es <strong>18642</strong> y ha participado un <strong>74%</strong>
castellnou-de-bages,Castellnou de Bages,8765,5709,411,105,El censo de <strong>Castellnou de Bages</strong> es <strong>19869</strong> y ha participado un <strong>75%</strong>
castellnou-de-seana,Castellnou de Seana,8495,3720,487,177,El censo de <strong>Castellnou de Seana</strong> es <strong>18350</strong> y ha participado un <strong>70%</strong>
castello-de-farfanya,Castelló de Farfanya,5589,5386,119,376,El censo de <strong>Castelló de Farfanya</strong> es <strong>15756</strong> y ha participado un <strong>73%</strong>
castello-d-empuries,Castelló d'Empúries,7050,4817,179,396,El censo de <strong>Castelló d'Empúries</strong> es <strong>16140</strong> y ha participado un <strong>77%</strong>
castelloli,Castellolí,6544,5342,363,225,El censo de <strong>Castellolí</strong> es <strong>17285</strong> y ha participado un <strong>72%</strong>
castell-platja-d-aro,Castell-Platja d'Aro,7108,3825,154,166,El censo de <strong>Castell-Platja d'Aro</strong> es <strong>16964</strong> y ha participado un <strong>66%</strong>
castellsera,Castellserà,7783,3335,462,267,El censo de <strong>Castellserà</strong> es <strong>17104</strong> y ha participado un <strong>69%</strong>
castelltercol,Castellterçol,6784,3659,149,188,El censo de <strong>Castellterçol</strong> es <strong>15129</strong> y ha participado un <strong>71%</strong>
castellvell-del-camp,Castellvell del Camp,7714,3513,113,276,El censo de <strong>Castellvell del Camp</strong> es <strong>17092</strong> y ha participado un <strong>68%</strong>
castellvi-de-la-marca,Castellví de la Marca,5547,3045,389,256,El censo de <strong>Castellví de la Marca</strong> es <strong>13206</strong> y ha participado un <strong>70%</strong>
castellvi-de-rosanes,Castellví de Rosanes,5956,5168,370,427,El censo de <strong>Castellví de Rosanes</strong> es <strong>16372</strong> y ha participado un <strong>73%</strong>
cava,Cava,9958,3367,480,205,El censo de <strong>Cava</strong> es <strong>18185</strong> y ha participado un <strong>77%</strong>
celra,Celrà,7525,4665,389,128,El censo de <strong>Celrà</strong> es <strong>16738</strong> y ha participado un <strong>76%</strong>
centelles,Centelles,8897,4185,496,313,El censo de <strong>Centelles</strong> es <strong>19156</strong> y ha participado un <strong>73%</strong>
cercs,Cercs,5076,5972,484,224,El censo de <strong>Cercs</strong> es <strong>16259</strong> y ha participado un <strong>72%</strong>
cerdanyola-del-valles,Cerdanyola del Vallès,8982,3745,318,271,El censo de <strong>Cerdanyola del Vallès</strong> es <strong>17415</strong> y ha participado un <strong>76%</strong>
cervello,Cervelló,8107,3481,326,347,El censo de <strong>Cervelló</strong> es <strong>18001</strong> y ha participado un <strong>68%</strong>
